Service,Age,CustomerSince,Customer Gender,Region,SupportCallsLastYear,AverageBill,ChurnIndicator,Satisfaction Score,,
fiber,29,6/23/2010 10:27,M,North,2,61,0.32,5,,
4G,74,6/23/2010 10:27,M,North,0,48,0.02,3,,
phone,34,6/23/2010 10:27,F,Central,0,34,0.02,4,,
phone,60,6/24/2010 10:27,M,North,5,70,0.23,5,,
landline,29,6/24/2010 10:27,M,Central,5,40,0.09,5,,
phone,38,6/24/2010 10:27,M,Central,0,,0.70,2,,
phone,61,6/25/2010 10:27,F,North,0,98,0.03,7,,
fiber,76,6/25/2010 10:27,M,Central,0,105,0.01,4,,
phone,71,6/25/2010 10:27,M,Central,0,103,0.80,2,,
landline,61,6/25/2010 10:27,F,Central,0,85,0.00,9,,
landline,49,6/25/2010 10:27,F,South,0,103,0.00,7,,
fiber,47,6/26/2010 10:27,F,North,5,44,0.19,7,,
fiber,18,6/26/2010 10:27,M,Central,1,79,0.10,5,,
phone,57,6/26/2010 10:27,M,North,3,55,0.05,4,,
4G,22,6/26/2010 10:27,F,Central,1,53,0.04,6,,
4G,49,6/26/2010 10:27,M,South,0,41,0.04,8,,
landline,63,6/26/2010 10:27,M,South,0,63,0.01,6,,
landline,76,6/26/2010 10:27,M,Central,0,104,0.00,5,,
fiber,41,6/27/2010 10:27,F,South,4,74,0.09,,,
landline,36,6/27/2010 10:27,M,Central,1,118,0.05,5,,
landline,23,6/27/2010 10:27,M,Central,5,91,0.02,4,,
phone,34,6/27/2010 10:27,F,Central,0,53,0.01,6,,
4G,60,6/28/2010 10:27,F,Central,9,49,0.21,9,,
4G,58,6/28/2010 10:27,F,Central,0,108,0.01,3,,
phone,79,6/28/2010 10:27,M,North,0,92,0.01,6,,
fiber,26,6/29/2010 10:27,M,South,1,31,0.12,8,,
fiber,42,6/29/2010 10:27,M,North,2,86,0.50,3,,
phone,60,6/29/2010 10:27,M,North,1,37,0.50,3,,
phone,19,6/29/2010 10:27,M,North,1,50,0.03,6,,
4G,27,6/29/2010 10:27,M,South,0,43,0.02,5,,
landline,24,6/29/2010 10:27,F,North,0,32,0.02,9,,
phone,59,6/30/2010 10:27,F,South,8,99,0.44,3,,
4G,43,6/30/2010 10:27,F,Central,0,37,0.07,3,,
4G,26,6/30/2010 10:27,M,North,0,86,0.04,4,,
phone,28,6/30/2010 10:27,F,South,0,108,0.04,6,,
landline,25,6/30/2010 10:27,F,Central,1,89,0.03,8,,
landline,63,6/30/2010 10:27,F,Central,0,114,0.02,4,,
fiber,20,6/30/2010 10:27,M,North,0,89,0.02,7,,
landline,54,6/30/2010 10:27,M,North,0,64,0.01,3,,
4G,23,7/2/2010 10:27,M,South,1,101,0.66,2,,
4G,59,7/2/2010 10:27,F,Central,1,32,0.07,4,,
4G,56,7/2/2010 10:27,M,South,2,65,0.05,5,,
landline,35,7/2/2010 10:27,M,Central,1,42,0.03,9,,
4G,46,7/2/2010 10:27,M,South,1,84,0.03,4,,
phone,25,7/3/2010 10:27,F,Central,8,109,0.24,5,,
phone,51,7/3/2010 10:27,M,South,5,36,0.22,3,,
4G,29,7/3/2010 10:27,F,South,4,43,0.12,4,,
4G,64,7/3/2010 10:27,M,North,2,,0.09,6,,
phone,52,7/3/2010 10:27,M,North,2,48,0.04,7,,
phone,26,7/3/2010 10:27,M,North,0,33,0.02,4,,
landline,45,7/3/2010 10:27,F,Central,0,99,0.02,6,,
landline,45,7/3/2010 10:27,F,Central,0,99,0.02,6,,
phone,37,7/3/2010 10:27,M,Central,0,49,0.01,6,,
phone,46,7/3/2010 10:27,F,Central,0,63,0.01,3,,
phone,22,7/4/2010 10:27,F,North,1,67,0.05,5,,
phone,51,7/4/2010 10:27,M,Central,0,44,0.02,6,,
fiber,60,7/4/2010 10:27,M,South,0,92,0.02,8,,
fiber,51,7/4/2010 10:27,F,South,0,105,0.01,5,,
4G,76,7/5/2010 10:27,M,Central,2,62,0.17,5,,
phone,70,7/5/2010 10:27,F,North,1,32,0.04,6,,
phone,58,7/5/2010 10:27,F,Central,1,52,0.03,5,,
phone,58,7/5/2010 10:27,F,South,0,44,0.02,6,,
phone,27,7/5/2010 10:27,F,North,1,93,0.02,9,,
landline,47,7/5/2010 10:27,F,North,0,44,0.01,8,,
fiber,70,7/6/2010 10:27,M,Central,6,57,0.17,5,,
4G,32,7/7/2010 10:27,F,Central,6,50,0.14,6,,
phone,63,7/7/2010 10:27,M,South,3,57,0.05,4,,
fiber,57,7/7/2010 10:27,M,Central,0,45,0.03,6,,
landline,46,7/7/2010 10:27,M,South,5,72,0.03,4,,
phone,26,7/7/2010 10:27,M,North,1,52,0.03,4,,
phone,26,7/7/2010 10:27,M,North,1,52,0.03,4,,
4G,49,7/7/2010 10:27,M,Central,0,107,0.01,4,,
landline,41,7/8/2010 10:27,F,South,1,111,0.05,4,,
fiber,54,7/8/2010 10:27,F,Central,2,90,0.05,6,,
4G,55,7/8/2010 10:27,M,North,0,35,0.05,5,,
4G,74,7/8/2010 10:27,M,South,1,61,0.03,5,,
landline,24,7/9/2010 10:27,M,Central,4,64,0.03,4,,
phone,54,7/9/2010 10:27,F,Central,1,56,0.02,5,,
4G,45,7/9/2010 10:27,M,Central,0,70,0.02,7,,
4G,59,7/9/2010 10:27,F,Central,0,78,0.01,10,,
4G,74,7/9/2010 10:27,F,North,0,88,0.01,,,
4G,72,7/9/2010 10:27,F,Central,0,103,0.01,5,,
landline,51,7/9/2010 10:27,M,Central,0,80,0.00,9,,
fiber,24,7/10/2010 10:27,F,Central,1,96,0.03,7,,
landline,58,7/10/2010 10:27,M,Central,0,43,0.01,7,,
